hour,high_risk_count,moderate_risk_count,alerts_fired,avg_risk_score,interventions
0,217,7,6,0.269,4
1,231,0,1,0.24,2
2,216,0,8,0.262,4
3,232,0,4,0.243,3
4,227,0,5,0.308,4
5,215,0,3,0.284,3
6,214,15,1,0.238,2
7,216,9,0,0.248,1
8,220,0,3,0.292,1
9,221,0,4,0.221,4
10,230,0,1,0.298,3
11,233,0,3,0.296,0
12,214,0,1,0.256,0
13,231,0,6,0.222,0
14,220,12,4,0.307,1
15,234,0,7,0.272,1
16,231,4,5,0.287,3
17,227,0,2,0.237,4
18,221,10,5,0.265,0
19,228,0,5,0.304,3
20,232,8,3,0.28,3
21,222,0,4,0.23,4
22,214,2,1,0.23,3
23,219,0,2,0.29,4
